hh_id,hhline,study_site,hhmem_relation_ego,hhmem_age,hhmem_gender,sleep_room_ego,hh_access_to_water,hh_toilet,hh_shared_toilet,hh_electricity,hh_refridgerator,hh_radio,hh_television,type_house,type_floor
HH1100,5,1,Cousin,14,F,1,5,2,1,0,0,0,1,3,3
HH1100,6,1,Sister,16,F,1,5,2,1,0,0,0,1,3,3
HH1100,7,1,Cousin,1,F,0,5,2,1,0,0,0,1,3,3
HH1100,8,1,Cousin,6,F,1,5,2,1,0,0,0,1,3,3
HH1100,9,1,Sister,18,F,1,5,2,1,0,0,0,1,3,3
HH1101,1,1,Father,36,M,1, , , , , , , , , 
HH1101,2,1,Mother,23,F,1, , , , , , , , , 
HH1101,3,1,Sister,4,F,1, , , , , , , , , 
HH1101,4,1,Aunt,3,F,1, , , , , , , , , 
HH1102,1,1,Niece,14,F,0,5,2,1,0,0,0,0,3,3
HH1102,2,1,Niece,12,F,0,5,2,1,0,0,0,0,3,3
HH1102,3,1,Niece,7,F,0,5,2,1,0,0,0,0,3,3
HH1102,4,1,Brother,14,M,1,5,2,1,0,0,0,0,3,3
HH1102,5,1,Sister,12,F,0,5,2,1,0,0,0,0,3,3
HH1102,6,1,Grandmother,70,F,0,5,2,1,0,0,0,0,3,3
HH1103,1,1,Not related,16,F,1, , , , , , , , , 
HH1103,2,1,Not related,15,F,1, , , , , , , , , 
HH1104,1,1,Grandmother,62,F,1, , , , , , , , , 
HH1104,2,1,Sister,14,F,1, , , , , , , , , 
HH1104,3,1,Brother,17,M,0, , , , , , , , , 
HH1105,1,1,Grandmother,58,F,0,4,2,1,0,0,1,1,3,3
HH1105,2,1,Father,36,M,0,4,2,1,0,0,1,1,3,3
HH1105,3,1,Brother,8,M,0,4,2,1,0,0,1,1,3,3
HH1105,4,1,Niece,4,F,0,4,2,1,0,0,1,1,3,3
HH1106,1,1,Mother,34,F,0,5,3,2,0,0,0,0,3,3
HH1106,2,1,Father,46,M,0,5,3,2,0,0,0,0,3,3
HH1107,1,1,Brother,14,M,0,5,2,1,0,0,1,0,3,3
HH1107,2,1,Mother,38,F,1,5,2,1,0,0,1,0,3,3
