hh_id,hhline,hh_member_id,study_site,hhmem_relation_ego,hhmem_age,hhmem_gender,sleep_room_ego,hh_access_to_water,hh_toilet,hh_shared_toilet,hh_electricity,hh_refridgerator,hh_radio,hh_television,type_house,type_floor
HH372,6,HH372_6,2,Uncle,12,M,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
HH372,7,HH372_7,2,Uncle,9,M,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
HH372,8,HH372_8,2,Nephew,7,M,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
HH372,9,HH372_9,2,Daughter,4,F,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
HH373,1,HH373_1,2,Mother-in-law,76,F,0,2,2,1,0,0,0,0,3,3
HH373,2,HH373_2,2,Niece,13,F,0,2,2,1,0,0,0,0,3,3
HH373,3,HH373_3,2,Grandchild,4,F,1,2,2,1,0,0,0,0,3,3
HH374,1,HH374_1,2,Mother,28,F,1,2,5,NA,0,0,0,0,2,3
HH374,2,HH374_2,2,Brother,10,M,1,2,5,NA,0,0,0,0,2,3
HH374,3,HH374_3,2,Father,30,M,1,2,5,NA,0,0,0,0,2,3
HH375,1,HH375_1,2,Father,42,M,0,5,2,1,0,0,0,0,2,1
HH375,2,HH375_2,2,Mother,28,F,0,5,2,1,0,0,0,0,2,1
HH375,3,HH375_3,2,Sister,12,F,1,5,2,1,0,0,0,0,2,1
HH375,4,HH375_4,2,Brother,5,M,1,5,2,1,0,0,0,0,2,1
HH376,1,HH376_1,2,Mother,34,F,0,10,5,NA,0,0,0,0,3,3
HH376,2,HH376_2,2,Grandmother,73,F,0,10,5,NA,0,0,0,0,3,3
HH376,3,HH376_3,2,Uncle,30,M,0,10,5,NA,0,0,0,0,3,3
HH376,4,HH376_4,2,Brother,12,M,1,10,5,NA,0,0,0,0,3,3
HH376,5,HH376_5,2,Sister,2,F,0,10,5,NA,0,0,0,0,3,3
HH377,1,HH377_1,2,Father,52,M,0,5,2,1,0,0,0,1,3,3
HH377,2,HH377_2,2,Mother,40,F,0,5,2,1,0,0,0,1,3,3
HH377,3,HH377_3,2,Brother,13,M,1,5,2,1,0,0,0,1,3,3
HH378,1,HH378_1,2,Mother,58,F,0,2,2,1,0,0,1,1,3,3
HH378,2,HH378_2,2,Brother,21,M,0,2,2,1,0,0,1,1,3,3
HH378,3,HH378_3,2,Brother,17,M,0,2,2,1,0,0,1,1,3,3
HH378,4,HH378_4,2,Daughter,11,F,0,2,2,1,0,0,1,1,3,3
HH378,5,HH378_5,2,Daughter,8,F,0,2,2,1,0,0,1,1,3,3
HH378,6,HH378_6,2,Niece,10,F,0,2,2,1,0,0,1,1,3,3
HH378,7,HH378_7,2,Nephew,9,M,0,2,2,1,0,0,1,1,3,3
HH379,1,HH379_1,2,Mother,26,F,1,5,2,1,0,0,1,0,3,3
HH379,2,HH379_2,2,Father,43,M,1,5,2,1,0,0,1,0,3,3
HH379,3,HH379_3,2,Sister,4,F,0,5,2,1,0,0,1,0,3,3
HH379,4,HH379_4,2,Sister,8,F,0,5,2,1,0,0,1,0,3,3
HH380,1,HH380_1,2,Daughter,8,F,1,5,5,NA,0,0,0,0,3,3
HH380,2,HH380_2,2,Daughter,2,F,1,5,5,NA,0,0,0,0,3,3
HH380,3,HH380_3,2,Daughter,0,F,1,5,5,NA,0,0,0,0,3,3
HH380,4,HH380_4,2,Daughter,10,F,1,5,5,NA,0,0,0,0,3,3
HH380,5,HH380_5,2,Mother,26,F,1,5,5,NA,0,0,0,0,3,3
HH380,6,HH380_6,2,Sister,10,F,0,5,5,NA,0,0,0,0,3,3
HH380,7,HH380_7,2,Sister,2,F,1,5,5,NA,0,0,0,0,3,3
HH380,8,HH380_8,2,Sister,8,F,1,5,5,NA,0,0,0,0,3,3
HH380,9,HH380_9,2,Father,31,M,1,5,5,NA,0,0,0,0,3,3
HH381,1,HH381_1,2,Son,7,M,1,2,2,1,0,0,0,0,3,3
HH381,2,HH381_2,2,Son,1,M,1,2,2,1,0,0,0,0,3,3
HH381,3,HH381_3,2,Husband,34,M,1,2,2,1,0,0,0,0,3,3
HH382,1,HH382_1,2,Husband,45,M,1,5,2,1,0,0,0,0,3,3
HH382,2,HH382_2,2,Son,16,M,0,5,2,1,0,0,0,0,3,3
HH382,3,HH382_3,2,Daughter,2,F,1,5,2,1,0,0,0,0,3,3
HH383,1,HH383_1,2,Mother,44,F,1,5,2,1,0,0,1,1,3,3
HH383,2,HH383_2,2,Sister,18,F,1,5,2,1,0,0,1,1,3,3
HH383,3,HH383_3,2,Sister,16,F,1,5,2,1,0,0,1,1,3,3
HH383,4,HH383_4,2,Sister,15,F,1,5,2,1,0,0,1,1,3,3
HH384,1,HH384_1,2,Mother,78,F,0,6,2,1,0,0,1,0,3,3
HH384,2,HH384_2,2,Son,18,M,0,6,2,1,0,0,1,0,3,3
HH384,3,HH384_3,2,Grandchild,11,M,0,6,2,1,0,0,1,0,3,3
HH385,1,HH385_1,2,Mother,34,F,1,5,3,1,0,0,0,0,3,3
HH385,2,HH385_2,2,Sister,12,F,1,5,3,1,0,0,0,0,3,3
HH385,3,HH385_3,2,Brother,8,M,1,5,3,1,0,0,0,0,3,3
HH386,1,HH386_1,2,Mother,26,F,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
HH386,2,HH386_2,2,Sister,21,F,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
HH386,3,HH386_3,2,other relative,25,F,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
HH387,1,HH387_1,2,Husband,83,M,1,4,2,1,0,0,0,0,3,3
HH387,2,HH387_2,2,Mother,50,F,0,4,2,1,0,0,0,0,3,3
HH387,3,HH387_3,2,Father,43,M,1,4,2,1,0,0,0,0,3,3
HH387,4,HH387_4,2,Sister,8,F,0,4,2,1,0,0,0,0,3,3
HH388,1,HH388_1,2,Father,27,M,1,4,2,1,0,0,1,0,3,3
HH388,2,HH388_2,2,Brother,4,M,1,4,2,1,0,0,1,0,3,3
HH389,1,HH389_1,2,Wife,27,F,1,4,2,1,0,0,1,0,3,3
HH389,2,HH389_2,2,Son,7,M,1,4,2,1,0,0,1,0,3,3
HH389,3,HH389_3,2,Daughter,0,F,1,4,2,1,0,0,1,0,3,3
HH390,1,HH390_1,2,Son,21,M,0,1,2,1,0,0,0,0,3,3
HH391,1,HH391_1,2,Daughter,12,F,1,2,2,1,0,0,0,0,3,3
HH391,2,HH391_2,2,Uncle,14,M,0,2,2,1,0,0,0,0,3,3
HH391,3,HH391_3,2,Uncle,19,M,0,2,2,1,0,0,0,0,3,3
HH392,1,HH392_1,2,Mother,62,F,0,1,3,1,0,0,0,0,3,3
HH392,2,HH392_2,2,Niece,13,F,0,1,3,1,0,0,0,0,3,3
HH392,3,HH392_3,2,Niece,9,F,0,1,3,1,0,0,0,0,3,3
HH393,1,HH393_1,2,Daughter,8,F,1,6,2,1,0,0,1,0,3,3
HH393,2,HH393_2,2,Daughter,3,F,1,6,2,1,0,0,1,0,3,3
HH394,1,HH394_1,2,Nephew,13,M,0,5,2,1,0,0,1,1,3,1
HH394,2,HH394_2,2,Nephew,10,M,0,5,2,1,0,0,1,1,3,1
HH394,3,HH394_3,2,Wife,44,F,1,5,2,1,0,0,1,1,3,1
HH394,4,HH394_4,2,Daughter,4,F,1,5,2,1,0,0,1,1,3,1
HH395,1,HH395_1,2,Grandchild,17,M,0,5,2,1,0,0,0,0,3,3
HH395,2,HH395_2,2,Grandchild,13,M,0,5,2,1,0,0,0,0,3,3
HH395,3,HH395_3,2,Grandchild,6,F,1,5,2,1,0,0,0,0,3,3
HH396,1,HH396_1,2,Aunt,29,F,0,3,2,1,0,0,1,0,3,3
HH396,2,HH396_2,2,Uncle,1,M,0,3,2,1,0,0,1,0,3,3
HH397,1,HH397_1,2,Wife,66,F,1,5,2,1,0,0,0,0,3,3
HH397,2,HH397_2,2,Grandchild,16,M,0,5,2,1,0,0,0,0,3,3
HH397,3,HH397_3,2,Grandchild,11,F,0,5,2,1,0,0,0,0,3,3
HH397,4,HH397_4,2,Grandchild,4,F,1,5,2,1,0,0,0,0,3,3
HH398,1,HH398_1,2,Father,28,M,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
HH398,2,HH398_2,2,Mother,22,F,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
HH398,3,HH398_3,2,Brother,19,M,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
HH399,1,HH399_1,2,Husband,28,M,1,5,2,1,0,0,0,0,3,3
HH399,2,HH399_2,2,Daughter,1,F,1,5,2,1,0,0,0,0,3,3
HH399,3,HH399_3,2,Mother-in-law,45,F,0,5,2,1,0,0,0,0,3,3
HH399,4,HH399_4,2,Father-in-law,58,M,0,5,2,1,0,0,0,0,3,3
HH399,5,HH399_5,2,Uncle,24,M,0,5,2,1,0,0,0,0,3,3
HH399,6,HH399_6,2,Uncle,19,M,0,5,2,1,0,0,0,0,3,3
HH399,7,HH399_7,2,Niece,2,F,0,5,2,1,0,0,0,0,3,3
HH400,1,HH400_1,2,Mother,21,F,1,6,3,1,0,0,0,0,3,3
HH400,2,HH400_2,2,Grandmother,70,F,0,6,3,1,0,0,0,0,3,3
HH400,3,HH400_3,2,Uncle,16,M,0,6,3,1,0,0,0,0,3,3
HH400,4,HH400_4,2,other relative,13,F,0,6,3,1,0,0,0,0,3,3
HH401,1,HH401_1,2,Mother,40,F,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
HH401,2,HH401_2,2,Sister,13,F,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
HH401,3,HH401_3,2,Brother,8,M,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
HH401,4,HH401_4,2,Sister,4,F,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
HH402,1,HH402_1,2,mother,26,F,0,6,2,1,0,0,0,0,3,3
HH402,2,HH402_2,2,father,43,M,0,6,2,1,0,0,0,0,3,3
HH402,3,HH402_3,2,nephew,14,M,1,6,2,1,0,0,0,0,3,3
HH402,4,HH402_4,2,sister,4,F,0,6,2,1,0,0,0,0,3,3
HH402,5,HH402_5,2,sister,2,F,0,6,2,1,0,0,0,0,3,3
